,abstract,bands,circle,figure,gestural,grid,landscape,portrait,rectangle,repetition,shape,square,still_life,symmetry,label,range_Blue,stdev_Blue,skew_Blue,range_Green,stdev_Green,skew_Green,range_Red,stdev_Red,skew_Red,range_Hue,stdev_Hue,skew_Hue,range_Saturation,stdev_Saturation,skew_Saturation,range_Value,stdev_Value,skew_Value
1960.099,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.05,0.0,99.81,symmetry,18.0,2.1794496,4.050244331359863,10.0,1.9018905,3.0278499126434326,15.0,2.168669,3.898390769958496,24.0,2.802064,5.760412693023682,26.0,2.5433738,5.9233198165893555,36.0,3.0,7.90711784362793
1960.103,0.02,6.42,0.06,0.03,0.13,4.38,0.01,0.01,3.57,73.89,5.92,1.33,0.03,4.21,repetition,12.0,2.0444283,3.1754872798919678,22.0,3.248798,5.089908599853516,20.0,2.8980057,4.692320346832275,13.0,1.9724667,3.706141471862793,16.0,2.2150056,4.054568290710449,18.0,2.186607,4.537426471710205
1961.001,0.26,0.01,0.01,0.0,0.01,10.44,0.0,0.0,22.89,0.77,0.02,65.57,0.0,0.03,square,9.0,1.6512306,2.4167962074279785,9.0,1.6700486,2.5423200130462646,10.0,1.8157299,2.6995527744293213,23.0,2.3116553,5.549680233001709,27.0,2.484326,6.491076469421387,25.0,2.470134,5.847448825836182
1961.002,0.0,2.19,0.0,0.02,0.02,54.49,0.22,0.01,0.03,27.96,0.0,14.88,0.01,0.16,grid,7.0,1.299038,2.042109251022339,14.0,2.309965,3.690326452255249,7.0,1.3806701,2.0481858253479004,20.0,2.1722684,5.878586292266846,24.0,2.7796695,5.218721389770508,17.0,1.986281,5.043257236480713
1961.003,0.24,0.08,0.01,0.0,0.0,42.08,0.0,0.0,43.3,6.08,1.46,1.72,0.0,5.01,rectangle,10.0,1.9465514,3.2007436752319336,11.0,2.0728905,3.1563305854797363,9.0,1.681703,2.752241611480713,43.0,3.3819373,8.888226509094238,47.0,3.5222507,9.611977577209473,27.0,2.368412,8.080764770507812
1961.004,0.0,0.0,0.0,0.0,0.0,73.4,0.0,0.0,0.0,26.56,0.0,0.02,0.0,0.01,grid,6.0,1.2531211,1.7180981636047363,7.0,1.3404757,1.9996147155761719,5.0,1.3139873,1.7691653966903687,22.0,2.186607,6.797172546386719,25.0,2.2895825,7.330064296722412,27.0,2.2534695,7.478724002838135
1961.005,0.0,0.1,0.0,0.0,0.0,0.61,0.0,0.03,0.11,97.05,0.01,2.06,0.01,0.02,repetition,10.0,1.8791621,2.6560511589050293,12.0,1.9823439,3.0560543537139893,10.0,1.8624581,2.7499258518218994,17.0,1.7070625,4.6561808586120605,16.0,1.711633,4.200666904449463,12.0,1.636975,3.348724126815796
1961.006,0.0,17.61,0.0,1.27,0.0,0.0,0.16,0.0,80.28,0.66,0.0,0.0,0.0,0.01,rectangle,10.0,1.6863422,2.903090715408325,6.0,1.3228756,1.802080512046814,7.0,1.2747549,2.0931625366210938,20.0,2.5617378,5.366056442260742,18.0,2.3897567,4.93170166015625,25.0,2.3651109,5.979026794433594
1961.007,0.0,0.02,0.0,0.0,0.0,24.07,0.0,0.0,0.06,0.42,0.0,68.88,0.0,6.55,square,8.0,1.6274021,2.3097238540649414,11.0,1.7853571,3.0764975547790527,9.0,1.5836074,2.350306272506714,39.0,3.019468,8.841297149658203,40.0,3.127499,8.732697486877441,39.0,3.0910656,8.641011238098145
1961.011,0.0,0.01,0.0,0.0,0.0,92.47,0.0,0.0,0.0,7.12,0.0,0.38,0.0,0.02,grid,5.0,1.1759305,1.5890769958496094,13.0,2.115789,3.4278550148010254,5.0,1.1215224,1.6656042337417603,30.0,2.6383588,8.51813793182373,18.0,2.3913908,4.658102989196777,14.0,1.615356,4.6401591300964355
